Job Id,Job Title,Role
1017340707950150,Procurement Manager,Supplier Diversity Manager
2421048253959975,Architectural Designer,Architectural Drafter
1822636506606589,Art Teacher,Art Education Coordinator
3068000579894602,Environmental Consultant,Environmental Impact Analyst
1747904829392680,Art Teacher,Art Education Coordinator
1891291129748729,Event Planner,Wedding Planner
2252571142854596,Architect,Architectural Designer
2438881208917048,Family Lawyer,Mediator
687428170224095,Account Manager,Client Relationship Manager
1690092345385690,Business Development Manager,Market Expansion Manager
2292687627185174,Network Engineer,Network Administrator
1360796501250115,IT Manager,Infrastructure Manager
1003297754485307,HR Coordinator,Training Coordinator
1914743881231235,Human Resources Manager,Employee Relations Specialist
1967335940495985,Customer Support Specialist,Help Desk Analyst
1119946650450517,Content Writer,Content Strategist
1851615191968004,Network Administrator,Network Security Analyst
230671511481282,Chemical Analyst,Quality Control Analyst
769868086475150,Psychologist,Clinical Psychologist
2526045654726889,Software Engineer,Backend Developer
2953363068663263,Physician Assistant,Primary Care Physician Assistant
1967819306965373,Financial Advisor,Investment Advisor
2589699564499919,Litigation Attorney,Trial Attorney
2786546639471725,Front-End Developer,Web Designer
659760799347783,IT Support Specialist,Help Desk Support Specialist
2142758625318639,Paralegal,Litigation Paralegal
1492618699113104,Legal Counsel,Corporate Attorney
569815952031396,Art Teacher,Art Education Coordinator
1102859527991443,UX/UI Designer,User Interface Designer
1292185447519671,Social Media Coordinator,Content Creator
1103238683386387,Tax Consultant,Business Tax Consultant
790558137765887,Electrical Designer,Electrical Engineer
863767548625315,UX Researcher,User Researcher
1585599127009635,Systems Administrator,IT Support Specialist
1444704013028066,Systems Administrator,IT Support Specialist
854978294247383,Customer Service Manager,Service Quality Assurance Manager
554395496544077,Network Administrator,Network Security Analyst
443261297913235,UI Developer,UX/UI Designer
2607053333176495,Legal Counsel,Employment Lawyer
1735061994124564,Sales Associate,Retail Sales Associate
2739812771357,Mechanical Engineer,Manufacturing Engineer
2437148245220718,HR Manager,Human Resources Director
1665444439573965,Environmental Engineer,Sustainability Specialist
211365116507770,Litigation Attorney,Corporate Litigator
728424133240641,Office Manager,Administrative Manager
2633022875073544,UX/UI Designer,Interaction Designer
442003097890105,Network Engineer,Network Security Engineer
2510079706777060,Marketing Analyst,Digital Marketing Analyst
2086759112657971,Network Analyst,Network Performance Analyst
1605487419237373,Account Manager,Client Relationship Manager
1066228196278987,Civil Engineer,Structural Engineer
933782055545696,Digital Marketing Specialist,Social Media Manager
2448662048590534,Landscape Architect,Residential Landscape Designer
2166097934338299,Digital Marketing Specialist,Social Media Manager
2536847273465954,Legal Secretary,Court Clerk
892068157551993,Financial Analyst,Investment Analyst
1931177359968947,Family Lawyer,Mediator
222932155589831,Marketing Analyst,Data Analyst
2721916401503696,Veterinarian,Exotic Animal Veterinarian
208522049483832,Software Tester,Automation Tester
1595892121857567,Network Administrator,Network Security Analyst
313339793031984,UX/UI Designer,Interaction Designer
