job_id,job_title,job_role,resume_id,resume_category,experience_level,similarity_score,rank
2644632921690788,Mechanical Designer,CAD Technician,86828820,ENGINEERING,Senior,0.1799,1
2644632921690788,Mechanical Designer,CAD Technician,61579998,ENGINEERING,Junior,0.1469,2
2644632921690788,Mechanical Designer,CAD Technician,17103000,ENGINEERING,Senior,0.1463,3
2644632921690788,Mechanical Designer,CAD Technician,96029688,ENGINEERING,Senior,0.1457,4
2644632921690788,Mechanical Designer,CAD Technician,17926546,ENGINEERING,Mid,0.1393,5
2350520660106813,Data Engineer,Data Architect,12011623,ENGINEERING,Junior,0.1867,1
2350520660106813,Data Engineer,Data Architect,61579998,ENGINEERING,Junior,0.1386,2
2350520660106813,Data Engineer,Data Architect,12472574,ENGINEERING,Mid,0.1201,3
2350520660106813,Data Engineer,Data Architect,32081266,ENGINEERING,Senior,0.1062,4
2350520660106813,Data Engineer,Data Architect,43752620,ENGINEERING,Senior,0.1014,5
2348647859249269,Pharmaceutical Sales Representative,Territory Sales Manager,27165830,HR,Senior,0.2396,1
2348647859249269,Pharmaceutical Sales Representative,Territory Sales Manager,25547145,ACCOUNTANT,Junior,0.2038,2
2348647859249269,Pharmaceutical Sales Representative,Territory Sales Manager,93002334,HR,Senior,0.1793,3
2348647859249269,Pharmaceutical Sales Representative,Territory Sales Manager,24020470,INFORMATION-TECHNOLOGY,Mid,0.1642,4
2348647859249269,Pharmaceutical Sales Representative,Territory Sales Manager,25935030,ACCOUNTANT,Entry,0.1526,5
423876985442049,Nurse Practitioner,Acute Care Nurse Practitioner,17043822,ENGINEERING,Senior,0.124,1
423876985442049,Nurse Practitioner,Acute Care Nurse Practitioner,16861758,HR,Senior,0.1085,2
423876985442049,Nurse Practitioner,Acute Care Nurse Practitioner,48037995,INFORMATION-TECHNOLOGY,Mid,0.0871,3
423876985442049,Nurse Practitioner,Acute Care Nurse Practitioner,16911115,ENGINEERING,Senior,0.0864,4
423876985442049,Nurse Practitioner,Acute Care Nurse Practitioner,80053367,ACCOUNTANT,Mid,0.0848,5
2979267871226186,Network Security Specialist,Security Consultant,52246737,INFORMATION-TECHNOLOGY,Junior,0.2551,1
2979267871226186,Network Security Specialist,Security Consultant,19796840,INFORMATION-TECHNOLOGY,Senior,0.2159,2
2979267871226186,Network Security Specialist,Security Consultant,18187364,INFORMATION-TECHNOLOGY,Senior,0.1704,3
2979267871226186,Network Security Specialist,Security Consultant,25959103,INFORMATION-TECHNOLOGY,Senior,0.1597,4
2979267871226186,Network Security Specialist,Security Consultant,51363762,INFORMATION-TECHNOLOGY,Mid,0.1509,5
864870253465568,Back-End Developer,API Developer,27372171,INFORMATION-TECHNOLOGY,Mid,0.1119,1
864870253465568,Back-End Developer,API Developer,37242217,INFORMATION-TECHNOLOGY,Mid,0.1032,2
864870253465568,Back-End Developer,API Developer,12763627,INFORMATION-TECHNOLOGY,Senior,0.1026,3
864870253465568,Back-End Developer,API Developer,29975124,INFORMATION-TECHNOLOGY,Senior,0.102,4
864870253465568,Back-End Developer,API Developer,18187364,INFORMATION-TECHNOLOGY,Senior,0.1013,5
451168239044097,HR Manager,Employee Development Manager,24402267,HR,Junior,0.32,1
451168239044097,HR Manager,Employee Development Manager,25824789,HR,Senior,0.2845,2
451168239044097,HR Manager,Employee Development Manager,19616406,HR,Entry,0.2472,3
451168239044097,HR Manager,Employee Development Manager,16877897,HR,Junior,0.2458,4
451168239044097,HR Manager,Employee Development Manager,21830565,HR,Senior,0.2444,5
1339842484953510,Network Engineer,Network Administrator,35389360,ENGINEERING,Entry,0.2352,1
1339842484953510,Network Engineer,Network Administrator,22890839,ENGINEERING,Junior,0.1359,2
1339842484953510,Network Engineer,Network Administrator,13149176,ENGINEERING,Senior,0.1303,3
1339842484953510,Network Engineer,Network Administrator,14206561,ENGINEERING,Senior,0.1138,4
1339842484953510,Network Engineer,Network Administrator,47919212,ENGINEERING,Entry,0.1055,5
2943566083064088,Psychologist,Clinical Psychologist,80053367,ACCOUNTANT,Mid,0.1226,1
2943566083064088,Psychologist,Clinical Psychologist,48037995,INFORMATION-TECHNOLOGY,Mid,0.082,2
2943566083064088,Psychologist,Clinical Psychologist,21265194,HR,Senior,0.0819,3
2943566083064088,Psychologist,Clinical Psychologist,19717385,HR,Senior,0.0729,4
2943566083064088,Psychologist,Clinical Psychologist,17043822,ENGINEERING,Senior,0.0673,5
